Year,Nachhaltigkeitsstandard,Value
1998,DNK,
1999,DNK,
2000,DNK,
2001,DNK,
2002,DNK,
2003,DNK,
2004,DNK,
2005,DNK,
2006,DNK,
2007,DNK,
2008,DNK,
2009,DNK,
2010,DNK,
2011,DNK,
2012,DNK,
2013,DNK,3.0
2014,DNK,5.0
2015,DNK,6.0
2016,DNK,7.0
2017,DNK,10.0
2018,DNK,11.0
2019,DNK,22.0
2020,DNK,24.0
2021,DNK,27.0
2022,DNK,31.0
2023,DNK,33.0
2024,DNK,37.0
2025,DNK,41.0
1998,EMAS,54.0
1999,EMAS,62.0
2000,EMAS,89.0
2001,EMAS,96.0
2002,EMAS,91.0
2003,EMAS,68.0
2004,EMAS,73.0
2005,EMAS,72.0
2006,EMAS,72.0
2007,EMAS,66.0
2008,EMAS,59.0
2009,EMAS,50.0
2010,EMAS,36.0
2011,EMAS,34.0
2012,EMAS,26.0
2013,EMAS,26.0
2014,EMAS,22.0
2015,EMAS,17.0
2016,EMAS,18.0
2017,EMAS,18.0
2018,EMAS,17.0
2019,EMAS,16.0
2020,EMAS,17.0
2021,EMAS,19.0
2022,EMAS,19.0
2023,EMAS,22.0
2024,EMAS,24.0
2025,EMAS,24.0
1998,GRI,0.0
1999,GRI,0.0
2000,GRI,0.0
2001,GRI,0.0
2002,GRI,0.0
2003,GRI,0.0
2004,GRI,0.0
2005,GRI,0.0
2006,GRI,1.0
2007,GRI,1.0
2008,GRI,1.0
2009,GRI,1.0
2010,GRI,1.0
2011,GRI,1.0
2012,GRI,1.0
2013,GRI,2.0
2014,GRI,2.0
2015,GRI,3.0
2016,GRI,4.0
2017,GRI,4.0
2018,GRI,4.0
2019,GRI,4.0
2020,GRI,4.0
2021,GRI,4.0
2022,GRI,4.0
2023,GRI,4.0
2024,GRI,4.0
2025,GRI,4.0
