Year,Sektor,Value
2005,Energiewirtschaft,6609.0
2006,Energiewirtschaft,6730.3
2007,Energiewirtschaft,5957.4
2008,Energiewirtschaft,6503.5
2009,Energiewirtschaft,6631.9
2010,Energiewirtschaft,7091.4
2011,Energiewirtschaft,5818.0
2012,Energiewirtschaft,6142.7
2013,Energiewirtschaft,5891.9
2014,Energiewirtschaft,5599.3
2015,Energiewirtschaft,5453.3
2016,Energiewirtschaft,5164.3
2017,Energiewirtschaft,4837.1
2005,Industrie,4283.2
2006,Industrie,4228.8
2007,Industrie,4049.7
2008,Industrie,4457.8
2009,Industrie,3801.9
2010,Industrie,3573.1
2011,Industrie,3835.3
2012,Industrie,3763.7
2013,Industrie,3663.8
2014,Industrie,3312.3
2015,Industrie,2911.6
2016,Industrie,3069.0
2017,Industrie,3412.5
2005,Gewerbe Handel Dienstleistungen,1925.0
2006,Gewerbe Handel Dienstleistungen,1968.0
2007,Gewerbe Handel Dienstleistungen,1519.1
2008,Gewerbe Handel Dienstleistungen,1736.0
2009,Gewerbe Handel Dienstleistungen,1584.8
2010,Gewerbe Handel Dienstleistungen,1681.4
2011,Gewerbe Handel Dienstleistungen,1721.2
2012,Gewerbe Handel Dienstleistungen,1796.7
2013,Gewerbe Handel Dienstleistungen,1933.4
2014,Gewerbe Handel Dienstleistungen,1898.1
2015,Gewerbe Handel Dienstleistungen,1873.5
2016,Gewerbe Handel Dienstleistungen,1833.0
2017,Gewerbe Handel Dienstleistungen,2176.7
2005,Verkehr,5581.5
2006,Verkehr,5419.8
2007,Verkehr,5305.8
2008,Verkehr,5208.6
2009,Verkehr,5199.7
2010,Verkehr,5209.3
2011,Verkehr,5159.8
2012,Verkehr,5168.6
2013,Verkehr,5339.7
2014,Verkehr,5359.2
2015,Verkehr,5419.9
2016,Verkehr,5537.3
2017,Verkehr,5594.3
2005,Haushalte,4065.4
2006,Haushalte,4186.1
2007,Haushalte,3212.1
2008,Haushalte,3887.2
2009,Haushalte,3726.6
2010,Haushalte,3978.2
2011,Haushalte,3473.9
2012,Haushalte,3565.1
2013,Haushalte,3697.5
2014,Haushalte,3203.7
2015,Haushalte,3305.9
2016,Haushalte,3448.5
2017,Haushalte,3437.4
2005,Abfallwirtschaft,746.8
2006,Abfallwirtschaft,791.5
2007,Abfallwirtschaft,878.9
2008,Abfallwirtschaft,794.7
2009,Abfallwirtschaft,789.6
2010,Abfallwirtschaft,762.5
2011,Abfallwirtschaft,692.7
2012,Abfallwirtschaft,789.2
2013,Abfallwirtschaft,791.9
2014,Abfallwirtschaft,739.3
2015,Abfallwirtschaft,762.6
2016,Abfallwirtschaft,739.7
2017,Abfallwirtschaft,716.1
2005,Landwirtschaft,4869.4
2006,Landwirtschaft,4793.4
2007,Landwirtschaft,4786.5
2008,Landwirtschaft,5005.8
2009,Landwirtschaft,4943.2
2010,Landwirtschaft,4923.4
2011,Landwirtschaft,5053.8
2012,Landwirtschaft,5016.3
2013,Landwirtschaft,5092.2
2014,Landwirtschaft,5125.5
2015,Landwirtschaft,5044.5
2016,Landwirtschaft,5049.9
2017,Landwirtschaft,5049.9
