Year,Gruppe,Value
1993-1996,Freiraumverlust (m²/Einwohner),4.429555433
1997-2000,Freiraumverlust (m²/Einwohner),5.416518823
2001-2004,Freiraumverlust (m²/Einwohner),10.95265345
2002-2005,Freiraumverlust (m²/Einwohner),.
2003-2006,Freiraumverlust (m²/Einwohner),.
2004-2007,Freiraumverlust (m²/Einwohner),.
2005-2008,Freiraumverlust (m²/Einwohner),7.030688572
2006-2009,Freiraumverlust (m²/Einwohner),6.649884657
2007-2010,Freiraumverlust (m²/Einwohner),5.479241175
2008-2011,Freiraumverlust (m²/Einwohner),4.694059689
2009-2012,Freiraumverlust (m²/Einwohner),4.428221519
2010-2013,Freiraumverlust (m²/Einwohner),4.1575915
2011-2014,Freiraumverlust (m²/Einwohner),4.139675074
2012-2015,Freiraumverlust (m²/Einwohner),3.466601565
2013-2016,Freiraumverlust (m²/Einwohner),2.926764263
2014-2017,Freiraumverlust (m²/Einwohner),3.164119431
2015-2018,Freiraumverlust (m²/Einwohner),3.282275711
2016-2019,Freiraumverlust (m²/Einwohner),2.896567632
2017-2020,Freiraumverlust (m²/Einwohner),4.397084742
2018-2021,Freiraumverlust (m²/Einwohner),4.633817257
2019-2022,Freiraumverlust (m²/Einwohner),4.47604504
2020-2023,Freiraumverlust (m²/Einwohner),4.441665518
