Year,Gebiet,Value
2009,Schleswig-Holstein,9.3
2011,Schleswig-Holstein,8.4
2012,Schleswig-Holstein,8.2
2013,Schleswig-Holstein,7.8
2014,Schleswig-Holstein,7.8
2015,Schleswig-Holstein,8.5
2016,Schleswig-Holstein,8.1
2017,Schleswig-Holstein,8.1
2018,Schleswig-Holstein,8.1
2019,Schleswig-Holstein,8.0
2020,Schleswig-Holstein,8.0
2021,Schleswig-Holstein,8.0
2022,Schleswig-Holstein,8.0
2023,Schleswig-Holstein,8.0
2009,Bund,13.9
2011,Bund,13.2
2012,Bund,13.1
2013,Bund,12.4
2014,Bund,12.4
2015,Bund,12.7
2016,Bund,13.1
2017,Bund,13.3
2018,Bund,13.4
2019,Bund,13.4
2020,Bund,13.4
2021,Bund,13.4
2022,Bund,13.4
2023,Bund,13.4
