Year,Raum,Value
2005,Deutschland,36.0
2006,Deutschland,36.5
2007,Deutschland,37.6
2008,Deutschland,38.8
2009,Deutschland,40.7
2010,Deutschland,41.3
2011,Deutschland,42.2
2012,Deutschland,43.4
2013,Deutschland,44.5
2014,Deutschland,45.7
2015,Deutschland,46.8
2016,Deutschland,47.9
2017,Deutschland,48.4
2005,Schleswig-Holstein,32.5
2006,Schleswig-Holstein,30.6
2007,Schleswig-Holstein,31.8
2008,Schleswig-Holstein,32.1
2009,Schleswig-Holstein,34.6
2010,Schleswig-Holstein,35.8
2011,Schleswig-Holstein,40.4
2012,Schleswig-Holstein,37.3
2013,Schleswig-Holstein,38.2
2014,Schleswig-Holstein,38.9
2015,Schleswig-Holstein,39.7
2016,Schleswig-Holstein,40.1
2017,Schleswig-Holstein,42.6
