Year,Organisation,Value
2011,Landesparlament,36.0
2015,Landesparlament,32.0
2018,Landesparlament,32.0
2023,Landesparlament,42.0
2011,Kommunalvertretungen,30.0
2015,Kommunalvertretungen,31.0
2018,Kommunalvertretungen,31.0
2023,Kommunalvertretungen,33.0
2011,Landesregierung,25.0
2015,Landesregierung,50.0
2018,Landesregierung,37.5
2023,Landesregierung,43.8
2011,Kommunale Verwaltungsspitzen,13.0
2015,Kommunale Verwaltungsspitzen,7.0
2018,Kommunale Verwaltungsspitzen,
2023,Kommunale Verwaltungsspitzen,6.7
