Year,Produktivitätsindex,Value
1991,Endenergieproduktivität,100.0
1992,Endenergieproduktivität,101.1560546
1993,Endenergieproduktivität,98.28231896
1994,Endenergieproduktivität,101.5398938
1995,Endenergieproduktivität,103.279084
1996,Endenergieproduktivität,99.4841208
1997,Endenergieproduktivität,104.9519197
1998,Endenergieproduktivität,107.5032986
1999,Endenergieproduktivität,110.7039172
2000,Endenergieproduktivität,115.4738095
2001,Endenergieproduktivität,115.0676688
2002,Endenergieproduktivität,119.5900874
2003,Endenergieproduktivität,116.6435675
2004,Endenergieproduktivität,120.939689
2005,Endenergieproduktivität,126.5549442
2006,Endenergieproduktivität,128.7319491
2007,Endenergieproduktivität,140.184889
2008,Endenergieproduktivität,138.4341587
2009,Endenergieproduktivität,137.8649875
2010,Endenergieproduktivität,131.2454162
2011,Endenergieproduktivität,141.6800473
2012,Endenergieproduktivität,138.652033
2013,Endenergieproduktivität,132.5955685
2014,Endenergieproduktivität,143.5502939
2015,Endenergieproduktivität,142.3489134
2016,Endenergieproduktivität,145.3031681
2017,Endenergieproduktivität,148.2968369
2018,Endenergieproduktivität,149.210875
2019,Endenergieproduktivität,158.5326461
2020,Endenergieproduktivität,155.8954496
2021,Endenergieproduktivität,151.1666956
2022,Endenergieproduktivität,159.550088
2023,Endenergieproduktivität,166.51
1991,Treibhausgasproduktivität,100.0
1992,Treibhausgasproduktivität,100.3351101
1993,Treibhausgasproduktivität,96.46437533
1994,Treibhausgasproduktivität,98.88562225
1995,Treibhausgasproduktivität,103.9466389
1996,Treibhausgasproduktivität,104.1914337
1997,Treibhausgasproduktivität,108.3373649
1998,Treibhausgasproduktivität,110.0095805
1999,Treibhausgasproduktivität,113.2692901
2000,Treibhausgasproduktivität,118.2269728
2001,Treibhausgasproduktivität,113.9533127
2002,Treibhausgasproduktivität,118.8393616
2003,Treibhausgasproduktivität,118.2875303
2004,Treibhausgasproduktivität,126.2731253
2005,Treibhausgasproduktivität,130.399519
2006,Treibhausgasproduktivität,134.0774261
2007,Treibhausgasproduktivität,147.8753282
2008,Treibhausgasproduktivität,142.0362712
2009,Treibhausgasproduktivität,141.3164834
2010,Treibhausgasproduktivität,139.3744844
2011,Treibhausgasproduktivität,152.1666784
2012,Treibhausgasproduktivität,147.99532
2013,Treibhausgasproduktivität,145.3879067
2014,Treibhausgasproduktivität,154.6357579
2015,Treibhausgasproduktivität,157.8934467
2016,Treibhausgasproduktivität,162.3932771
2017,Treibhausgasproduktivität,166.9126443
2018,Treibhausgasproduktivität,170.0472353
2019,Treibhausgasproduktivität,185.2937305
2020,Treibhausgasproduktivität,186.1464972
2021,Treibhausgasproduktivität,186.4360043
2022,Treibhausgasproduktivität,194.3876999
2023,Treibhausgasproduktivität,203.3764195
2024,Treibhausgasproduktivität,204.72
