Year,Verbrauchssektor,Value
2005,Industrie,
2006,Industrie,12158.7
2007,Industrie,12450.3
2008,Industrie,12424.9
2009,Industrie,11931.3
2010,Industrie,12956.3
2011,Industrie,12886.6
2012,Industrie,12582.1
2013,Industrie,12347.1
2014,Industrie,11534.9
2015,Industrie,11746.0
2016,Industrie,11654.2
2017,Industrie,11640.6
2018,Industrie,
2005,Verkehr,
2006,Verkehr,21903.2
2007,Verkehr,21587.3
2008,Verkehr,20911.6
2009,Verkehr,20756.1
2010,Verkehr,20871.3
2011,Verkehr,20612.5
2012,Verkehr,20736.4
2013,Verkehr,21236.5
2014,Verkehr,21337.5
2015,Verkehr,21467.3
2016,Verkehr,21932.4
2017,Verkehr,22118.7
2018,Verkehr,
2005,Haushalte,
2006,Haushalte,28901.0
2007,Haushalte,24959.2
2008,Haushalte,27742.4
2009,Haushalte,27328.5
2010,Haushalte,29779.2
2011,Haushalte,26897.3
2012,Haushalte,27319.4
2013,Haushalte,28134.2
2014,Haushalte,24723.0
2015,Haushalte,26099.0
2016,Haushalte,26772.9
2017,Haushalte,26653.1
2018,Haushalte,
2005,Gewerbe Handel Dienstleistungenn,
2006,Gewerbe Handel Dienstleistungenn,14728.1
2007,Gewerbe Handel Dienstleistungenn,13118.5
2008,Gewerbe Handel Dienstleistungenn,13882.1
2009,Gewerbe Handel Dienstleistungenn,12752.5
2010,Gewerbe Handel Dienstleistungenn,13149.8
2011,Gewerbe Handel Dienstleistungenn,13267.5
2012,Gewerbe Handel Dienstleistungenn,13850.0
2013,Gewerbe Handel Dienstleistungenn,15042.7
2014,Gewerbe Handel Dienstleistungenn,14681.4
2015,Gewerbe Handel Dienstleistungenn,13984.7
2016,Gewerbe Handel Dienstleistungenn,13600.6
2017,Gewerbe Handel Dienstleistungenn,15105.0
2018,Gewerbe Handel Dienstleistungenn,
