Year,Arbeitslosenquoten,Value
2008,Arbeitslosenquote insgesamt,7.6
2009,Arbeitslosenquote insgesamt,7.8
2010,Arbeitslosenquote insgesamt,7.5
2011,Arbeitslosenquote insgesamt,7.2
2012,Arbeitslosenquote insgesamt,6.9
2013,Arbeitslosenquote insgesamt,6.9
2014,Arbeitslosenquote insgesamt,6.8
2015,Arbeitslosenquote insgesamt,6.5
2016,Arbeitslosenquote insgesamt,6.3
2017,Arbeitslosenquote insgesamt,6.0
2018,Arbeitslosenquote insgesamt,5.5
2019,Arbeitslosenquote insgesamt,5.1
2020,Arbeitslosenquote insgesamt,5.8
2021,Arbeitslosenquote insgesamt,5.6
2022,Arbeitslosenquote insgesamt,5.2
2023,Arbeitslosenquote insgesamt,5.5
2024,Arbeitslosenquote insgesamt,5.7
2008,Männer,7.5
2009,Männer,8.2
2010,Männer,7.9
2011,Männer,7.5
2012,Männer,7.2
2013,Männer,7.2
2014,Männer,7.1
2015,Männer,6.9
2016,Männer,6.7
2017,Männer,6.5
2018,Männer,5.8
2019,Männer,5.4
2020,Männer,6.3
2021,Männer,6.0
2022,Männer,5.4
2023,Männer,5.8
2024,Männer,6.1
2008,Frauen,7.7
2009,Frauen,7.4
2010,Frauen,7.1
2011,Frauen,6.9
2012,Frauen,6.6
2013,Frauen,6.6
2014,Frauen,6.4
2015,Frauen,6.0
2016,Frauen,5.8
2017,Frauen,5.5
2018,Frauen,5.1
2019,Frauen,4.7
2020,Frauen,5.3
2021,Frauen,5.2
2022,Frauen,4.9
2023,Frauen,5.2
2024,Frauen,5.3
2008,Ausländer,19.9
2009,Ausländer,19.8
2010,Ausländer,18.9
2011,Ausländer,18.4
2012,Ausländer,17.7
2013,Ausländer,17.5
2014,Ausländer,17.5
2015,Ausländer,18.7
2016,Ausländer,20.0
2017,Ausländer,21.5
2018,Ausländer,17.9
2019,Ausländer,16.7
2020,Ausländer,18.9
2021,Ausländer,17.3
2022,Ausländer,17.4
2023,Ausländer,19.7
2024,Ausländer,19.0
2008,Langzeitarbeitslose,2.8
2009,Langzeitarbeitslose,2.5
2010,Langzeitarbeitslose,2.4
2011,Langzeitarbeitslose,2.3
2012,Langzeitarbeitslose,2.3
2013,Langzeitarbeitslose,2.4
2014,Langzeitarbeitslose,2.5
2015,Langzeitarbeitslose,2.4
2016,Langzeitarbeitslose,2.3
2017,Langzeitarbeitslose,2.1
2018,Langzeitarbeitslose,1.9
2019,Langzeitarbeitslose,1.6
2020,Langzeitarbeitslose,1.8
2021,Langzeitarbeitslose,2.2
2022,Langzeitarbeitslose,1.9
2023,Langzeitarbeitslose,1.8
2024,Langzeitarbeitslose,1.9
