Year,Anteil der Arbeitslosen,Value
2008,Anteil Langzeitarbeitslose,37.4
2009,Anteil Langzeitarbeitslose,32.3
2010,Anteil Langzeitarbeitslose,32.3
2011,Anteil Langzeitarbeitslose,32.2
2012,Anteil Langzeitarbeitslose,33.6
2013,Anteil Langzeitarbeitslose,34.4
2014,Anteil Langzeitarbeitslose,36.9
2015,Anteil Langzeitarbeitslose,37.1
2016,Anteil Langzeitarbeitslose,36.8
2017,Anteil Langzeitarbeitslose,35.0
2018,Anteil Langzeitarbeitslose,34.5
2019,Anteil Langzeitarbeitslose,31.4
2020,Anteil Langzeitarbeitslose,30.6
2021,Anteil Langzeitarbeitslose,38.3
2022,Anteil Langzeitarbeitslose,36.5
2023,Anteil Langzeitarbeitslose,33.2
2024,Anteil Langzeitarbeitslose,33.1
2008,Anteil Alleinerziehende,11.1
2009,Anteil Alleinerziehende,10.0
2010,Anteil Alleinerziehende,9.8
2011,Anteil Alleinerziehende,9.8
2012,Anteil Alleinerziehende,9.9
2013,Anteil Alleinerziehende,10.1
2014,Anteil Alleinerziehende,10.2
2015,Anteil Alleinerziehende,9.6
2016,Anteil Alleinerziehende,9.1
2017,Anteil Alleinerziehende,8.7
2018,Anteil Alleinerziehende,8.3
2019,Anteil Alleinerziehende,8.3
2020,Anteil Alleinerziehende,7.9
2021,Anteil Alleinerziehende,8.1
2022,Anteil Alleinerziehende,8.6
2023,Anteil Alleinerziehende,8.4
2024,Anteil Alleinerziehende,
2008,Anteil Menschen ohne abgeschlossene Berufsausbildung,
2009,Anteil Menschen ohne abgeschlossene Berufsausbildung,45.6
2010,Anteil Menschen ohne abgeschlossene Berufsausbildung,42.8
2011,Anteil Menschen ohne abgeschlossene Berufsausbildung,44.4
2012,Anteil Menschen ohne abgeschlossene Berufsausbildung,45.1
2013,Anteil Menschen ohne abgeschlossene Berufsausbildung,45.6
2014,Anteil Menschen ohne abgeschlossene Berufsausbildung,46.5
2015,Anteil Menschen ohne abgeschlossene Berufsausbildung,47.9
2016,Anteil Menschen ohne abgeschlossene Berufsausbildung,48.0
2017,Anteil Menschen ohne abgeschlossene Berufsausbildung,46.6
2018,Anteil Menschen ohne abgeschlossene Berufsausbildung,52.0
2019,Anteil Menschen ohne abgeschlossene Berufsausbildung,53.9
2020,Anteil Menschen ohne abgeschlossene Berufsausbildung,53.7
2021,Anteil Menschen ohne abgeschlossene Berufsausbildung,54.6
2022,Anteil Menschen ohne abgeschlossene Berufsausbildung,56.7
2023,Anteil Menschen ohne abgeschlossene Berufsausbildung,57.6
2024,Anteil Menschen ohne abgeschlossene Berufsausbildung,56.3
