Year,Series,Arbeitslosenquoten,Anteil der Arbeitslosen,Value
2008,,Arbeitslosenquote insgesamt,,7.6
2009,,Arbeitslosenquote insgesamt,,7.8
2010,,Arbeitslosenquote insgesamt,,7.5
2008,,Männer,,7.5
2009,,Männer,,8.2
2010,,Männer,,7.9
2008,,Frauen,,7.7
2009,,Frauen,,7.4
2010,,Frauen,,7.1
2008,,Ausländer,,19.9
2009,,Ausländer,,19.8
2010,,Ausländer,,18.9
2008,,Langzeitarbeitslose,,2.8
2009,,Langzeitarbeitslose,,2.5
2010,,Langzeitarbeitslose,,2.4
2008,,Anteil Langzeitarbeitslose,37.4,
2009,,Anteil Langzeitarbeitslose,32.3,
2010,,Anteil Langzeitarbeitslose,32.3,
2008,,Anteil Alleinerziehende,11.1,
2009,,Anteil Alleinerziehende,10.0,
2010,,Anteil Alleinerziehende,9.8,
2008,,Anteil Menschen ohne abgeschlossene Berufsausbildung,,
2009,,Anteil Menschen ohne abgeschlossene Berufsausbildung,45.6,
2010,,Anteil Menschen ohne abgeschlossene Berufsausbildung,42.8,
