Year,Erwerbstätigenquote,Value
2011,SH - Anteil Alter 20-64 Jahre insgesamt,76.3
2012,SH - Anteil Alter 20-64 Jahre insgesamt,77.5
2013,SH - Anteil Alter 20-64 Jahre insgesamt,77.2
2014,SH - Anteil Alter 20-64 Jahre insgesamt,77.9
2015,SH - Anteil Alter 20-64 Jahre insgesamt,78.6
2016,SH - Anteil Alter 20-64 Jahre insgesamt,78.3
2017,SH - Anteil Alter 20-64 Jahre insgesamt,79.3
2011,Bund - Anteil Alter 20-64 Jahre insgesamt,76.5
2012,Bund - Anteil Alter 20-64 Jahre insgesamt,76.9
2013,Bund - Anteil Alter 20-64 Jahre insgesamt,77.3
2014,Bund - Anteil Alter 20-64 Jahre insgesamt,77.7
2015,Bund - Anteil Alter 20-64 Jahre insgesamt,78.0
2016,Bund - Anteil Alter 20-64 Jahre insgesamt,78.6
2017,Bund - Anteil Alter 20-64 Jahre insgesamt,79.2
2011,SH -  Anteil Alter 60-64 Jahre insgesamt,45.7
2012,SH -  Anteil Alter 60-64 Jahre insgesamt,48.6
2013,SH -  Anteil Alter 60-64 Jahre insgesamt,52.3
2014,SH -  Anteil Alter 60-64 Jahre insgesamt,56.4
2015,SH -  Anteil Alter 60-64 Jahre insgesamt,56.1
2016,SH -  Anteil Alter 60-64 Jahre insgesamt,55.0
2017,SH -  Anteil Alter 60-64 Jahre insgesamt,57.9
2011,Bund - Anteil Alter 60-64 Jahre insgesamt,44.3
2012,Bund - Anteil Alter 60-64 Jahre insgesamt,46.6
2013,Bund - Anteil Alter 60-64 Jahre insgesamt,50.0
2014,Bund - Anteil Alter 60-64 Jahre insgesamt,52.6
2015,Bund - Anteil Alter 60-64 Jahre insgesamt,53.3
2016,Bund - Anteil Alter 60-64 Jahre insgesamt,56.0
2017,Bund - Anteil Alter 60-64 Jahre insgesamt,58.4
2011,SH - Anteil Alter 20-64 Jahre m,81.1
2012,SH - Anteil Alter 20-64 Jahre m,82.1
2013,SH - Anteil Alter 20-64 Jahre m,82.4
2014,SH - Anteil Alter 20-64 Jahre m,82.4
2015,SH - Anteil Alter 20-64 Jahre m,83.1
2016,SH - Anteil Alter 20-64 Jahre m,82.1
2017,SH - Anteil Alter 20-64 Jahre m,82.6
2011,SH - Anteil Alter 20-64 Jahre w,71.5
2012,SH - Anteil Alter 20-64 Jahre w,72.8
2013,SH - Anteil Alter 20-64 Jahre w,72.0
2014,SH - Anteil Alter 20-64 Jahre w,73.4
2015,SH - Anteil Alter 20-64 Jahre w,74.2
2016,SH - Anteil Alter 20-64 Jahre w,74.5
2017,SH - Anteil Alter 20-64 Jahre w,76.0
2011,SH - Anteil Alter 60-64 Jahre m,56.1
2012,SH - Anteil Alter 60-64 Jahre m,56.6
2013,SH - Anteil Alter 60-64 Jahre m,60.7
2014,SH - Anteil Alter 60-64 Jahre m,62.2
2015,SH - Anteil Alter 60-64 Jahre m,63.6
2016,SH - Anteil Alter 60-64 Jahre m,60.7
2017,SH - Anteil Alter 60-64 Jahre m,63.4
2011,SH - Anteil Alter 60-64 Jahre w,35.8
2012,SH - Anteil Alter 60-64 Jahre w,40.5
2013,SH - Anteil Alter 60-64 Jahre w,43.9
2014,SH - Anteil Alter 60-64 Jahre w,50.3
2015,SH - Anteil Alter 60-64 Jahre w,49.3
2016,SH - Anteil Alter 60-64 Jahre w,49.8
2017,SH - Anteil Alter 60-64 Jahre w,53.2
2011,Bund - Anteil Alter 20-64 Jahre m,81.7
2012,Bund - Anteil Alter 20-64 Jahre m,82.1
2013,Bund - Anteil Alter 20-64 Jahre m,82.1
2014,Bund - Anteil Alter 20-64 Jahre m,82.2
2015,Bund - Anteil Alter 20-64 Jahre m,82.3
2016,Bund - Anteil Alter 20-64 Jahre m,82.7
2017,Bund - Anteil Alter 20-64 Jahre m,83.1
2011,Bund - Anteil Alter 20-64 Jahre w,71.3
2012,Bund - Anteil Alter 20-64 Jahre w,71.6
2013,Bund - Anteil Alter 20-64 Jahre w,72.5
2014,Bund - Anteil Alter 20-64 Jahre w,73.1
2015,Bund - Anteil Alter 20-64 Jahre w,73.6
2016,Bund - Anteil Alter 20-64 Jahre w,74.5
2017,Bund - Anteil Alter 20-64 Jahre w,75.2
2011,Bund - Anteil Alter 60-64 Jahre m,52.4
2012,Bund - Anteil Alter 60-64 Jahre m,54.9
2013,Bund - Anteil Alter 60-64 Jahre m,57.7
2014,Bund - Anteil Alter 60-64 Jahre m,59.4
2015,Bund - Anteil Alter 60-64 Jahre m,59.1
2016,Bund - Anteil Alter 60-64 Jahre m,61.5
2017,Bund - Anteil Alter 60-64 Jahre m,63.7
2011,Bund - Anteil Alter 60-64 Jahre w,36.5
2012,Bund - Anteil Alter 60-64 Jahre w,38.8
2013,Bund - Anteil Alter 60-64 Jahre w,42.8
2014,Bund - Anteil Alter 60-64 Jahre w,46.2
2015,Bund - Anteil Alter 60-64 Jahre w,47.9
2016,Bund - Anteil Alter 60-64 Jahre w,50.8
2017,Bund - Anteil Alter 60-64 Jahre w,53.3
