Year,Patentanmeldungen,Value
2005,Patentanmeldungen (Anzahl),598.0
2006,Patentanmeldungen (Anzahl),585.0
2007,Patentanmeldungen (Anzahl),624.0
2008,Patentanmeldungen (Anzahl),594.0
2009,Patentanmeldungen (Anzahl),567.0
2010,Patentanmeldungen (Anzahl),562.0
2011,Patentanmeldungen (Anzahl),486.0
2012,Patentanmeldungen (Anzahl),516.0
2013,Patentanmeldungen (Anzahl),465.0
2014,Patentanmeldungen (Anzahl),462.0
2015,Patentanmeldungen (Anzahl),463.0
2016,Patentanmeldungen (Anzahl),502.0
2017,Patentanmeldungen (Anzahl),508.0
2005,Patentanmeldungen (Anzahl/100.000 Einwohner),21.3
2006,Patentanmeldungen (Anzahl/100.000 Einwohner),20.8
2007,Patentanmeldungen (Anzahl/100.000 Einwohner),22.2
2008,Patentanmeldungen (Anzahl/100.000 Einwohner),21.2
2009,Patentanmeldungen (Anzahl/100.000 Einwohner),20.2
2010,Patentanmeldungen (Anzahl/100.000 Einwohner),20.1
2011,Patentanmeldungen (Anzahl/100.000 Einwohner),17.3
2012,Patentanmeldungen (Anzahl/100.000 Einwohner),18.4
2013,Patentanmeldungen (Anzahl/100.000 Einwohner),16.5
2014,Patentanmeldungen (Anzahl/100.000 Einwohner),16.4
2015,Patentanmeldungen (Anzahl/100.000 Einwohner),16.3
2016,Patentanmeldungen (Anzahl/100.000 Einwohner),17.5
2017,Patentanmeldungen (Anzahl/100.000 Einwohner),17.6
