Year,Geschlecht,Value
2006,Schleswig-Holstein insgesamt,10.1
2007,Schleswig-Holstein insgesamt,9.8
2008,Schleswig-Holstein insgesamt,9.4
2009,Schleswig-Holstein insgesamt,9.3
2010,Schleswig-Holstein insgesamt,8.9
2011,Schleswig-Holstein insgesamt,9.0
2012,Schleswig-Holstein insgesamt,9.1
2013,Schleswig-Holstein insgesamt,9.3
2014,Schleswig-Holstein insgesamt,9.5
2015,Schleswig-Holstein insgesamt,10.3
2016,Schleswig-Holstein insgesamt,10.3
2017,Schleswig-Holstein insgesamt,10.0
2006,Deutschland insgesamt,9.8
2007,Deutschland insgesamt,9.5
2008,Deutschland insgesamt,9.1
2009,Deutschland insgesamt,9.2
2010,Deutschland insgesamt,8.8
2011,Deutschland insgesamt,8.7
2012,Deutschland insgesamt,8.7
2013,Deutschland insgesamt,8.9
2014,Deutschland insgesamt,9.1
2015,Deutschland insgesamt,9.7
2016,Deutschland insgesamt,9.5
2017,Deutschland insgesamt,9.2
2006,Schleswig-Holstein Männer,10.3
2007,Schleswig-Holstein Männer,9.9
2008,Schleswig-Holstein Männer,9.4
2009,Schleswig-Holstein Männer,9.4
2010,Schleswig-Holstein Männer,9.0
2011,Schleswig-Holstein Männer,9.2
2012,Schleswig-Holstein Männer,9.2
2013,Schleswig-Holstein Männer,9.4
2014,Schleswig-Holstein Männer,9.7
2015,Schleswig-Holstein Männer,10.9
2016,Schleswig-Holstein Männer,10.8
2017,Schleswig-Holstein Männer,10.4
2006,Deutschland Männer,9.9
2007,Deutschland Männer,9.6
2008,Deutschland Männer,9.0
2009,Deutschland Männer,9.2
2010,Deutschland Männer,8.8
2011,Deutschland Männer,8.7
2012,Deutschland Männer,8.7
2013,Deutschland Männer,8.9
2014,Deutschland Männer,9.2
2015,Deutschland Männer,10.1
2016,Deutschland Männer,10.0
2017,Deutschland Männer,9.5
2006,Schleswig-Holstein Frauen,9.9
2007,Schleswig-Holstein Frauen,9.7
2008,Schleswig-Holstein Frauen,9.4
2009,Schleswig-Holstein Frauen,9.2
2010,Schleswig-Holstein Frauen,8.8
2011,Schleswig-Holstein Frauen,8.9
2012,Schleswig-Holstein Frauen,8.9
2013,Schleswig-Holstein Frauen,9.2
2014,Schleswig-Holstein Frauen,9.3
2015,Schleswig-Holstein Frauen,9.8
2016,Schleswig-Holstein Frauen,9.8
2017,Schleswig-Holstein Frauen,9.5
2006,Deutschland Frauen,9.7
2007,Deutschland Frauen,9.5
2008,Deutschland Frauen,9.1
2009,Deutschland Frauen,9.1
2010,Deutschland Frauen,8.7
2011,Deutschland Frauen,8.6
2012,Deutschland Frauen,8.7
2013,Deutschland Frauen,8.8
2014,Deutschland Frauen,8.9
2015,Deutschland Frauen,9.3
2016,Deutschland Frauen,9.1
2017,Deutschland Frauen,8.8
