Year,Leistungsbeziehende,Value
2005,SGB II - U 15 Leistungsbeziehende,14.3
2006,SGB II - U 15 Leistungsbeziehende,16.0
2007,SGB II - U 15 Leistungsbeziehende,16.1
2008,SGB II - U 15 Leistungsbeziehende,15.7
2009,SGB II - U 15 Leistungsbeziehende,14.1
2010,SGB II - U 15 Leistungsbeziehende,12.9
2011,SGB II - U 15 Leistungsbeziehende,13.1
2012,SGB II - U 15 Leistungsbeziehende,13.5
2013,SGB II - U 15 Leistungsbeziehende,14.0
2014,SGB II - U 15 Leistungsbeziehende,15.3
2015,SGB II - U 15 Leistungsbeziehende,14.8
2016,SGB II - U 15 Leistungsbeziehende,14.8
2017,SGB II - U 15 Leistungsbeziehende,16.1
