Year,Arbeitgeber (AG),Value
2005,Quote priv. AG,3.4
2006,Quote priv. AG,3.4
2007,Quote priv. AG,3.3
2008,Quote priv. AG,3.4
2009,Quote priv. AG,3.5
2010,Quote priv. AG,3.6
2011,Quote priv. AG,3.7
2012,Quote priv. AG,3.7
2013,Quote priv. AG,3.7
2014,Quote priv. AG,3.7
2015,Quote priv. AG,3.7
2016,Quote priv. AG,3.8
2005,Quote öffentl. AG,5.5
2006,Quote öffentl. AG,5.5
2007,Quote öffentl. AG,5.5
2008,Quote öffentl. AG,5.4
2009,Quote öffentl. AG,5.9
2010,Quote öffentl. AG,6.0
2011,Quote öffentl. AG,6.1
2012,Quote öffentl. AG,6.2
2013,Quote öffentl. AG,6.2
2014,Quote öffentl. AG,6.1
2015,Quote öffentl. AG,6.2
2016,Quote öffentl. AG,6.2
2005,gesamt,4.0
2006,gesamt,4.0
2007,gesamt,3.9
2008,gesamt,3.9
2009,gesamt,4.1
2010,gesamt,4.1
2011,gesamt,4.3
2012,gesamt,4.3
2013,gesamt,4.4
2014,gesamt,4.3
2015,gesamt,4.4
2016,gesamt,4.4
