Year,Raum,Value
2005,Schleswig-Holstein,0.28
2006,Schleswig-Holstein,0.28
2007,Schleswig-Holstein,0.28
2008,Schleswig-Holstein,0.28
2009,Schleswig-Holstein,0.29
2010,Schleswig-Holstein,0.28
2011,Schleswig-Holstein,0.28
2012,Schleswig-Holstein,0.29
2013,Schleswig-Holstein,0.29
2014,Schleswig-Holstein,0.29
2015,Schleswig-Holstein,0.29
2016,Schleswig-Holstein,0.28
2017,Schleswig-Holstein,0.29
2018,Schleswig-Holstein,0.29
2019,Schleswig-Holstein,0.28
2020,Schleswig-Holstein,0.29
2021,Schleswig-Holstein,0.29
2022,Schleswig-Holstein,0.29
2023,Schleswig-Holstein,0.3
2024,Schleswig-Holstein,0.31
