Year,Sektor,Value
1990,Energiewirtschaft,6705.013378
1995,Energiewirtschaft,6069.588279
2000,Energiewirtschaft,6004.442641
2003,Energiewirtschaft,7320.443611
2004,Energiewirtschaft,6597.401493
2005,Energiewirtschaft,6517.683795
2006,Energiewirtschaft,6576.565498
2007,Energiewirtschaft,5904.455922
2008,Energiewirtschaft,6370.568603
2009,Energiewirtschaft,6295.979381
2010,Energiewirtschaft,6862.560504
2011,Energiewirtschaft,5627.615603
2012,Energiewirtschaft,6317.303996
2013,Energiewirtschaft,5965.089405
2014,Energiewirtschaft,5823.357201
2015,Energiewirtschaft,5588.302539
2016,Energiewirtschaft,5284.406585
2017,Energiewirtschaft,5022.339334
2018,Energiewirtschaft,5241.15219
2019,Energiewirtschaft,4400.4696
2020,Energiewirtschaft,4071.117631
2021,Energiewirtschaft,4173.689853
2022,Energiewirtschaft,4252.770521
2023,Energiewirtschaft,3781.740526
1990,Industrie,6461.606003
1995,Industrie,6441.827397
2000,Industrie,6079.167602
2003,Industrie,4784.144245
2004,Industrie,4621.68274
2005,Industrie,4967.015301
2006,Industrie,5011.996014
2007,Industrie,4916.151993
2008,Industrie,5289.725481
2009,Industrie,4831.303146
2010,Industrie,4567.617254
2011,Industrie,4779.073123
2012,Industrie,4804.74285
2013,Industrie,4734.871411
2014,Industrie,4222.831542
2015,Industrie,3926.253665
2016,Industrie,3978.084363
2017,Industrie,4124.644155
2018,Industrie,4103.498285
2019,Industrie,4129.913485
2020,Industrie,4105.021683
2021,Industrie,3936.031079
2022,Industrie,3742.501865
2023,Industrie,3430.546578
1990,Gewerbe Handel Dienstleistungen,2026.576482
1995,Gewerbe Handel Dienstleistungen,2107.855686
2000,Gewerbe Handel Dienstleistungen,1747.159607
2003,Gewerbe Handel Dienstleistungen,1877.593866
2004,Gewerbe Handel Dienstleistungen,1918.757782
2005,Gewerbe Handel Dienstleistungen,1383.153981
2006,Gewerbe Handel Dienstleistungen,1407.696248
2007,Gewerbe Handel Dienstleistungen,977.9274195
2008,Gewerbe Handel Dienstleistungen,1188.363362
2009,Gewerbe Handel Dienstleistungen,1054.370642
2010,Gewerbe Handel Dienstleistungen,1148.295518
2011,Gewerbe Handel Dienstleistungen,1114.418806
2012,Gewerbe Handel Dienstleistungen,1787.817296
2013,Gewerbe Handel Dienstleistungen,2090.926416
2014,Gewerbe Handel Dienstleistungen,1962.091837
2015,Gewerbe Handel Dienstleistungen,1955.620403
2016,Gewerbe Handel Dienstleistungen,1854.960231
2017,Gewerbe Handel Dienstleistungen,2037.222431
2018,Gewerbe Handel Dienstleistungen,1769.304618
2019,Gewerbe Handel Dienstleistungen,1257.786214
2020,Gewerbe Handel Dienstleistungen,1639.690712
2021,Gewerbe Handel Dienstleistungen,1732.38011
2022,Gewerbe Handel Dienstleistungen,1848.027635
2023,Gewerbe Handel Dienstleistungen,1750.334177
1990,Haushalte,5137.829346
1995,Haushalte,5048.069124
2000,Haushalte,4386.965492
2003,Haushalte,4625.677557
2004,Haushalte,4257.445834
2005,Haushalte,4079.691148
