Year,Deichsicherung,Value
2001,Anteil der Landeschutzdeiche ohne Sicherheitsdefizit,74.0
2002,Anteil der Landeschutzdeiche ohne Sicherheitsdefizit,75.3
2003,Anteil der Landeschutzdeiche ohne Sicherheitsdefizit,76.6
2004,Anteil der Landeschutzdeiche ohne Sicherheitsdefizit,77.9
2005,Anteil der Landeschutzdeiche ohne Sicherheitsdefizit,79.2
2006,Anteil der Landeschutzdeiche ohne Sicherheitsdefizit,79.2
2007,Anteil der Landeschutzdeiche ohne Sicherheitsdefizit,80.2
2008,Anteil der Landeschutzdeiche ohne Sicherheitsdefizit,81.5
2009,Anteil der Landeschutzdeiche ohne Sicherheitsdefizit,81.9
2010,Anteil der Landeschutzdeiche ohne Sicherheitsdefizit,82.2
2011,Anteil der Landeschutzdeiche ohne Sicherheitsdefizit,83.2
2012,Anteil der Landeschutzdeiche ohne Sicherheitsdefizit,76.5
2013,Anteil der Landeschutzdeiche ohne Sicherheitsdefizit,77.7
2014,Anteil der Landeschutzdeiche ohne Sicherheitsdefizit,78.2
2015,Anteil der Landeschutzdeiche ohne Sicherheitsdefizit,78.2
2016,Anteil der Landeschutzdeiche ohne Sicherheitsdefizit,79.1
2017,Anteil der Landeschutzdeiche ohne Sicherheitsdefizit,79.2
2018,Anteil der Landeschutzdeiche ohne Sicherheitsdefizit,81.1
2019,Anteil der Landeschutzdeiche ohne Sicherheitsdefizit,81.4
2020,Anteil der Landeschutzdeiche ohne Sicherheitsdefizit,81.7
2021,Anteil der Landeschutzdeiche ohne Sicherheitsdefizit,81.7
2022,Anteil der Landeschutzdeiche ohne Sicherheitsdefizit,83.0
