Year,Units,Series,Gebiet,Value
1994,keq/(ha*a),Säureeinträge,Schleswig-Holstein,
1995,keq/(ha*a),Säureeinträge,Schleswig-Holstein,
1996,keq/(ha*a),Säureeinträge,Schleswig-Holstein,0.82
1997,keq/(ha*a),Säureeinträge,Schleswig-Holstein,0.73
1998,keq/(ha*a),Säureeinträge,Schleswig-Holstein,0.74
1999,keq/(ha*a),Säureeinträge,Schleswig-Holstein,0.77
2000,keq/(ha*a),Säureeinträge,Schleswig-Holstein,0.6
2001,keq/(ha*a),Säureeinträge,Schleswig-Holstein,0.69
2002,keq/(ha*a),Säureeinträge,Schleswig-Holstein,0.62
2003,keq/(ha*a),Säureeinträge,Schleswig-Holstein,0.49
2004,keq/(ha*a),Säureeinträge,Schleswig-Holstein,0.57
2005,keq/(ha*a),Säureeinträge,Schleswig-Holstein,0.61
2006,keq/(ha*a),Säureeinträge,Schleswig-Holstein,0.69
2007,keq/(ha*a),Säureeinträge,Schleswig-Holstein,0.67
2008,keq/(ha*a),Säureeinträge,Schleswig-Holstein,0.46
2009,keq/(ha*a),Säureeinträge,Schleswig-Holstein,0.47
2010,keq/(ha*a),Säureeinträge,Schleswig-Holstein,
2011,keq/(ha*a),Säureeinträge,Schleswig-Holstein,
2012,keq/(ha*a),Säureeinträge,Schleswig-Holstein,
2013,keq/(ha*a),Säureeinträge,Schleswig-Holstein,0.77
2014,keq/(ha*a),Säureeinträge,Schleswig-Holstein,0.6
2015,keq/(ha*a),Säureeinträge,Schleswig-Holstein,0.8
2016,keq/(ha*a),Säureeinträge,Schleswig-Holstein,0.7
2017,keq/(ha*a),Säureeinträge,Schleswig-Holstein,0.83
2018,keq/(ha*a),Säureeinträge,Schleswig-Holstein,0.53
2019,keq/(ha*a),Säureeinträge,Schleswig-Holstein,0.79
2020,keq/(ha*a),Säureeinträge,Schleswig-Holstein,0.56
2021,keq/(ha*a),Säureeinträge,Schleswig-Holstein,0.6
2022,keq/(ha*a),Säureeinträge,Schleswig-Holstein,0.56
2023,keq/(ha*a),Säureeinträge,Schleswig-Holstein,0.67
1994,keq/(ha*a),Säureeinträge,Deutschland,1.33
1995,keq/(ha*a),Säureeinträge,Deutschland,1.27
1996,keq/(ha*a),Säureeinträge,Deutschland,1.12
1997,keq/(ha*a),Säureeinträge,Deutschland,0.98
1998,keq/(ha*a),Säureeinträge,Deutschland,1.1
1999,keq/(ha*a),Säureeinträge,Deutschland,0.96
2000,keq/(ha*a),Säureeinträge,Deutschland,0.96
2001,keq/(ha*a),Säureeinträge,Deutschland,0.9
2002,keq/(ha*a),Säureeinträge,Deutschland,1.0
2003,keq/(ha*a),Säureeinträge,Deutschland,0.78
2004,keq/(ha*a),Säureeinträge,Deutschland,0.77
2005,keq/(ha*a),Säureeinträge,Deutschland,0.82
2006,keq/(ha*a),Säureeinträge,Deutschland,0.82
2007,keq/(ha*a),Säureeinträge,Deutschland,0.85
2008,keq/(ha*a),Säureeinträge,Deutschland,0.76
2009,keq/(ha*a),Säureeinträge,Deutschland,0.76
2010,keq/(ha*a),Säureeinträge,Deutschland,0.9
2011,keq/(ha*a),Säureeinträge,Deutschland,0.75
2012,keq/(ha*a),Säureeinträge,Deutschland,0.72
2013,keq/(ha*a),Säureeinträge,Deutschland,0.81
2014,keq/(ha*a),Säureeinträge,Deutschland,0.69
2015,keq/(ha*a),Säureeinträge,Deutschland,0.65
2016,keq/(ha*a),Säureeinträge,Deutschland,0.7
2017,keq/(ha*a),Säureeinträge,Deutschland,0.76
2018,keq/(ha*a),Säureeinträge,Deutschland,0.58
2019,keq/(ha*a),Säureeinträge,Deutschland,0.66
2020,keq/(ha*a),Säureeinträge,Deutschland,0.53
2021,keq/(ha*a),Säureeinträge,Deutschland,0.63
2022,keq/(ha*a),Säureeinträge,Deutschland,0.51
2023,keq/(ha*a),Säureeinträge,Deutschland,0.55
1994,kq/(ha*a),Stickstoffeinträge,Schleswig-Holstein,
