Year,Raum/Geschlecht,Value
2005,SH_männlich,330.3
2006,SH_männlich,319.4
2007,SH_männlich,312.3
2008,SH_männlich,309.2
2009,SH_männlich,311.3
2010,SH_männlich,305.3
2011,SH_männlich,301.0
2012,SH_männlich,287.4
2013,SH_männlich,302.3
2014,SH_männlich,281.7
2015,SH_männlich,298.4
2016,SH_männlich,292.3
2005, DE_männlich,329.4
2006, DE_männlich,318.4
2007, DE_männlich,312.9
2008, DE_männlich,307.8
2009, DE_männlich,304.8
2010, DE_männlich,300.6
2011, DE_männlich,298.7
2012, DE_männlich,292.3
2013, DE_männlich,291.9
2014, DE_männlich,281.2
2015, DE_männlich,288.1
2016, DE_männlich,283.8
2005,SH_weiblich,173.9
2006,SH_weiblich,168.6
2007,SH_weiblich,163.2
2008,SH_weiblich,170.3
2009,SH_weiblich,170.0
2010,SH_weiblich,170.7
2011,SH_weiblich,168.8
2012,SH_weiblich,174.0
2013,SH_weiblich,163.3
2014,SH_weiblich,164.7
2015,SH_weiblich,161.3
2016,SH_weiblich,164.4
2005, DE_weiblich,164.7
2006, DE_weiblich,159.2
2007, DE_weiblich,157.9
2008, DE_weiblich,158.8
2009, DE_weiblich,157.4
2010, DE_weiblich,155.4
2011, DE_weiblich,157.1
2012, DE_weiblich,152.9
2013, DE_weiblich,155.8
2014, DE_weiblich,149.1
2015, DE_weiblich,153.0
2016, DE_weiblich,151.6
