Year,Jahresmittelwert PM10,Value
2005,maximaler Jahresmittelwert,29.0
2006,maximaler Jahresmittelwert,30.0
2007,maximaler Jahresmittelwert,24.0
2008,maximaler Jahresmittelwert,27.0
2009,maximaler Jahresmittelwert,25.0
2010,maximaler Jahresmittelwert,26.0
2011,maximaler Jahresmittelwert,26.0
2012,maximaler Jahresmittelwert,21.0
2013,maximaler Jahresmittelwert,22.0
2014,maximaler Jahresmittelwert,25.0
2015,maximaler Jahresmittelwert,24.0
2016,maximaler Jahresmittelwert,23.0
2017,maximaler Jahresmittelwert,22.0
2018,maximaler Jahresmittelwert,22.0
2019,maximaler Jahresmittelwert,22.0
2020,maximaler Jahresmittelwert,18.0
2021,maximaler Jahresmittelwert,19.0
2022,maximaler Jahresmittelwert,19.0
2023,maximaler Jahresmittelwert,16.0
2024,maximaler Jahresmittelwert,16.0
2005,minimaler Jahresmittelwert,18.0
2006,minimaler Jahresmittelwert,19.0
2007,minimaler Jahresmittelwert,17.0
2008,minimaler Jahresmittelwert,16.0
2009,minimaler Jahresmittelwert,17.0
2010,minimaler Jahresmittelwert,20.0
2011,minimaler Jahresmittelwert,20.0
2012,minimaler Jahresmittelwert,17.0
2013,minimaler Jahresmittelwert,16.0
2014,minimaler Jahresmittelwert,19.0
2015,minimaler Jahresmittelwert,15.0
2016,minimaler Jahresmittelwert,14.0
2017,minimaler Jahresmittelwert,13.0
2018,minimaler Jahresmittelwert,15.0
2019,minimaler Jahresmittelwert,15.0
2020,minimaler Jahresmittelwert,13.0
2021,minimaler Jahresmittelwert,12.0
2022,minimaler Jahresmittelwert,13.0
2023,minimaler Jahresmittelwert,11.0
2024,minimaler Jahresmittelwert,11.0
2005,3 Jahres Mittelwert über alle Stationen,
2006,3 Jahres Mittelwert über alle Stationen,
2007,3 Jahres Mittelwert über alle Stationen,22.0
2008,3 Jahres Mittelwert über alle Stationen,22.0
2009,3 Jahres Mittelwert über alle Stationen,21.0
2010,3 Jahres Mittelwert über alle Stationen,22.0
2011,3 Jahres Mittelwert über alle Stationen,23.0
2012,3 Jahres Mittelwert über alle Stationen,22.0
2013,3 Jahres Mittelwert über alle Stationen,21.0
2014,3 Jahres Mittelwert über alle Stationen,20.0
2015,3 Jahres Mittelwert über alle Stationen,21.0
2016,3 Jahres Mittelwert über alle Stationen,20.0
2017,3 Jahres Mittelwert über alle Stationen,18.0
2018,3 Jahres Mittelwert über alle Stationen,18.0
2019,3 Jahres Mittelwert über alle Stationen,18.0
2020,3 Jahres Mittelwert über alle Stationen,17.0
2021,3 Jahres Mittelwert über alle Stationen,16.0
2022,3 Jahres Mittelwert über alle Stationen,15.0
2023,3 Jahres Mittelwert über alle Stationen,14.0
2024,3 Jahres Mittelwert über alle Stationen,13.0
