Year,Zertifizierte Bildungsakteure,Value
2005,Zertifizierte gesamt,15
2006,Zertifizierte gesamt,21
2007,Zertifizierte gesamt,26
2008,Zertifizierte gesamt,31
2009,Zertifizierte gesamt,36
2010,Zertifizierte gesamt,39
2011,Zertifizierte gesamt,40
2012,Zertifizierte gesamt,39
2013,Zertifizierte gesamt,41
2014,Zertifizierte gesamt,38
2015,Zertifizierte gesamt,37
2016,Zertifizierte gesamt,41
2017,Zertifizierte gesamt,45
2018,Zertifizierte gesamt,46
2019,Zertifizierte gesamt,48
2020,Zertifizierte gesamt,54
2021,Zertifizierte gesamt,60
2022,Zertifizierte gesamt,65
2023,Zertifizierte gesamt,70
2024,Zertifizierte gesamt,71
