Year,Wasserkörper,Value
2010,Erheblich veränderte und künstliche Fließgewässer Wasserkörper mit nicht gutem Potenzial,71.2
2015,Erheblich veränderte und künstliche Fließgewässer Wasserkörper mit nicht gutem Potenzial,66.9
2021,Erheblich veränderte und künstliche Fließgewässer Wasserkörper mit nicht gutem Potenzial,72.3
2010,Erheblich veränderte und künstliche Fließgewässer Wasserkörper mit gutem Potenzial,0.0
2015,Erheblich veränderte und künstliche Fließgewässer Wasserkörper mit gutem Potenzial,6.1
2021,Erheblich veränderte und künstliche Fließgewässer Wasserkörper mit gutem Potenzial,2.4
2010,natürliche Fließgewässer Wasserkörper mit nicht gutem Zustand,26.9
2015,natürliche Fließgewässer Wasserkörper mit nicht gutem Zustand,26.7
2021,natürliche Fließgewässer Wasserkörper mit nicht gutem Zustand,24.8
2010,natürliche Fließgewässer Wasserkörper mit gutem Zustand,1.9
2015,natürliche Fließgewässer Wasserkörper mit gutem Zustand,0.3
2021,natürliche Fließgewässer Wasserkörper mit gutem Zustand,0.5
