Year,Anteil Erneuerbarer Energien am Brutto-EEV,Value
2006,Anteil Erneuerbarer Energien am Brutto-EEV,10.3
2007,Anteil Erneuerbarer Energien am Brutto-EEV,13.5
2008,Anteil Erneuerbarer Energien am Brutto-EEV,13.9
2009,Anteil Erneuerbarer Energien am Brutto-EEV,14.5
2010,Anteil Erneuerbarer Energien am Brutto-EEV,15.7
2011,Anteil Erneuerbarer Energien am Brutto-EEV,18.2
2012,Anteil Erneuerbarer Energien am Brutto-EEV,20.6
2013,Anteil Erneuerbarer Energien am Brutto-EEV,20.5
2014,Anteil Erneuerbarer Energien am Brutto-EEV,22.9
2015,Anteil Erneuerbarer Energien am Brutto-EEV,25.4
2016,Anteil Erneuerbarer Energien am Brutto-EEV,24.8
2017,Anteil Erneuerbarer Energien am Brutto-EEV,27.6
2018,Anteil Erneuerbarer Energien am Brutto-EEV,28.1
2019,Anteil Erneuerbarer Energien am Brutto-EEV,30.5
2020,Anteil Erneuerbarer Energien am Brutto-EEV,32.2
2021,Anteil Erneuerbarer Energien am Brutto-EEV,30.6
2022,Anteil Erneuerbarer Energien am Brutto-EEV,34.4
2023,Anteil Erneuerbarer Energien am Brutto-EEV,39.8
2024,Anteil Erneuerbarer Energien am Brutto-EEV,45.6
