Year,Materialverbrauch,Value
1994,Materialverbrauch,13.01019575
1995,Materialverbrauch,14.01559358
1996,Materialverbrauch,13.06642137
1997,Materialverbrauch,12.60469944
1998,Materialverbrauch,12.78831066
1999,Materialverbrauch,12.80033982
2000,Materialverbrauch,12.03152416
2001,Materialverbrauch,11.93990505
2002,Materialverbrauch,11.24463803
2003,Materialverbrauch,11.10171476
2004,Materialverbrauch,12.14819585
2005,Materialverbrauch,12.40505102
2006,Materialverbrauch,13.7331503
2007,Materialverbrauch,12.56246048
2008,Materialverbrauch,11.81637617
2009,Materialverbrauch,11.98444674
2010,Materialverbrauch,13.11081815
2011,Materialverbrauch,13.3874768
2012,Materialverbrauch,14.19381407
2013,Materialverbrauch,14.20841967
2014,Materialverbrauch,14.77802156
2015,Materialverbrauch,14.21550209
2016,Materialverbrauch,14.92763269
2017,Materialverbrauch,13.63692
2018,Materialverbrauch,12.96565711
2019,Materialverbrauch,13.52739634
2020,Materialverbrauch,13.61381565
2021,Materialverbrauch,14.77880214
2022,Materialverbrauch,14.47012872
2023,Materialverbrauch,13.72224339
