Year,Fair-Trade-Gemeinden und -Kreise,Value
2011,Fair-Trade-Gemeinden und -Kreise,1
2012,Fair-Trade-Gemeinden und -Kreise,3
2013,Fair-Trade-Gemeinden und -Kreise,6
2014,Fair-Trade-Gemeinden und -Kreise,11
2015,Fair-Trade-Gemeinden und -Kreise,14
2016,Fair-Trade-Gemeinden und -Kreise,15
2017,Fair-Trade-Gemeinden und -Kreise,18
2018,Fair-Trade-Gemeinden und -Kreise,22
2019,Fair-Trade-Gemeinden und -Kreise,23
2020,Fair-Trade-Gemeinden und -Kreise,25
2021,Fair-Trade-Gemeinden und -Kreise,27
2022,Fair-Trade-Gemeinden und -Kreise,28
2023,Fair-Trade-Gemeinden und -Kreise,32
2024,Fair-Trade-Gemeinden und -Kreise,33
