Year,Patentanmeldungen,Value
2005,Patentanmeldungen (Anzahl),598.0
2006,Patentanmeldungen (Anzahl),585.0
2007,Patentanmeldungen (Anzahl),624.0
2008,Patentanmeldungen (Anzahl),594.0
2009,Patentanmeldungen (Anzahl),567.0
2010,Patentanmeldungen (Anzahl),562.0
2011,Patentanmeldungen (Anzahl),486.0
2012,Patentanmeldungen (Anzahl),516.0
2013,Patentanmeldungen (Anzahl),465.0
2014,Patentanmeldungen (Anzahl),462.0
2015,Patentanmeldungen (Anzahl),463.0
2016,Patentanmeldungen (Anzahl),502.0
2017,Patentanmeldungen (Anzahl),508.0
2018,Patentanmeldungen (Anzahl),474.0
2019,Patentanmeldungen (Anzahl),493.0
2020,Patentanmeldungen (Anzahl),480.0
2021,Patentanmeldungen (Anzahl),475.0
2022,Patentanmeldungen (Anzahl),426.0
2023,Patentanmeldungen (Anzahl),383.0
2005,Patentanmeldungen (Anzahl/100.000 Einwohner),21.3216
2006,Patentanmeldungen (Anzahl/100.000 Einwohner),20.8483
2007,Patentanmeldungen (Anzahl/100.000 Einwohner),22.2319
2008,Patentanmeldungen (Anzahl/100.000 Einwohner),21.1739
2009,Patentanmeldungen (Anzahl/100.000 Einwohner),20.2412
2010,Patentanmeldungen (Anzahl/100.000 Einwohner),20.0732
2011,Patentanmeldungen (Anzahl/100.000 Einwohner),17.3497
2012,Patentanmeldungen (Anzahl/100.000 Einwohner),18.3997
2013,Patentanmeldungen (Anzahl/100.000 Einwohner),16.5407
2014,Patentanmeldungen (Anzahl/100.000 Einwohner),16.3632
2015,Patentanmeldungen (Anzahl/100.000 Einwohner),16.2754
2016,Patentanmeldungen (Anzahl/100.000 Einwohner),17.4893
2017,Patentanmeldungen (Anzahl/100.000 Einwohner),18.0
2018,Patentanmeldungen (Anzahl/100.000 Einwohner),16.0
2019,Patentanmeldungen (Anzahl/100.000 Einwohner),17.0
2020,Patentanmeldungen (Anzahl/100.000 Einwohner),17.0
2021,Patentanmeldungen (Anzahl/100.000 Einwohner),16.0
2022,Patentanmeldungen (Anzahl/100.000 Einwohner),14.0
2023,Patentanmeldungen (Anzahl/100.000 Einwohner),13.0
