Year,Value,Units,Series
2006,18.0,Prozent,unbereinigter Verdienstabstand
2007,18.0,Prozent,unbereinigter Verdienstabstand
2008,19.0,Prozent,unbereinigter Verdienstabstand
2009,18.0,Prozent,unbereinigter Verdienstabstand
2010,18.0,Prozent,unbereinigter Verdienstabstand
2011,17.0,Prozent,unbereinigter Verdienstabstand
2012,18.0,Prozent,unbereinigter Verdienstabstand
2013,18.0,Prozent,unbereinigter Verdienstabstand
2014,17.0,Prozent,unbereinigter Verdienstabstand
2015,16.0,Prozent,unbereinigter Verdienstabstand
2016,16.0,Prozent,unbereinigter Verdienstabstand
2017,14.0,Prozent,unbereinigter Verdienstabstand
2018,14.0,Prozent,unbereinigter Verdienstabstand
2019,13.0,Prozent,unbereinigter Verdienstabstand
2020,13.0,Prozent,unbereinigter Verdienstabstand
2021,12.0,Prozent,unbereinigter Verdienstabstand
2022,12.0,Prozent,unbereinigter Verdienstabstand
2023,12.0,Prozent,unbereinigter Verdienstabstand
2024,11.0,Prozent,unbereinigter Verdienstabstand
2025,12.0,Prozent,unbereinigter Verdienstabstand
