Value,Disaggregation combinations using this value,Number of indicators
Amtsanwalts-Geschäfte,1,1
Amtsanwälte in Staatsanwaltschaft,1,1
Rechtspfleger-Geschäfte bzw. verglb. Tarifbeschäftigte,1,1
Rechtspfleger in Arbeitsgerichtsbarkeit,1,1
Rechtspfleger in Finanzgerichtsbarkeit,1,1
Rechtspfleger in Sozialgerichtsbarkeit,1,1
Rechtspfleger in Staatsanwaltschaften,1,1
Rechtspfleger in Verwaltungsgerichtsbarkeit,1,1
Rechtspfleger/Rechtspflegerinnen in Ordentliche Gerichtsbarkeit,1,1
Richter-Geschäfte,1,1
Richterinnen in Arbeitsgerichtsbarkeit,1,1
Richter/innen in Finanzgerichtsbarkeit,1,1
Richterinnen in Sozialgerichtsbarkeit,1,1
Richterinnen in Verwaltungsgerichtsbarkeit,1,1
Richter/Richterinnen in Ordentliche Gerichtsbarkeit,1,1
Serviceeinheiten-Geschäfte,1,1
Serviceeinheiten in Arbeitsgerichtsbarkeit,1,1
Serviceeinheiten in Ordentliche Gerichtsbarkeit,1,1
Serviceeinheiten in Sozialgerichtsbarkeit,1,1
Serviceeinheiten in Verwaltungsgerichtsbarkeit,1,1
Servicekräfte in Finanzgerichtsbarkeit,1,1
Staatsanwalts-Geschäfte,1,1
Staatsanwälte in Staatsanwaltschaft,1,1
