Value,Disaggregation combinations using this value,Number of indicators
Bund - Anteil Alter 20-64 Jahre insgesamt,1,1
Bund - Anteil Alter 20-64 Jahre m,1,1
Bund - Anteil Alter 20-64 Jahre w,1,1
Bund - Anteil Alter 60-64 Jahre insgesamt,1,1
Bund - Anteil Alter 60-64 Jahre m,1,1
Bund - Anteil Alter 60-64 Jahre w,1,1
Erwerbstätigenquote  (Anteil Alter 20-64 Jahre insgesamt),1,1
Erwerbstätigenquote  (Anteil Alter 20-64 Jahre m),1,1
Erwerbstätigenquote  (Anteil Alter 20-64 Jahre w),1,1
Menschen mit Migrationshintergrund (Anteil Alter 20-64 Jahre insgesamt),1,1
Menschen mit Migrationshintergrund (Anteil Alter 20-64 Jahre m),1,1
Menschen mit Migrationshintergrund (Anteil Alter 20-64 Jahre w),1,1
SH - Anteil Alter 20-64 Jahre insgesamt,1,1
SH - Anteil Alter 20-64 Jahre m,1,1
SH - Anteil Alter 20-64 Jahre w,1,1
SH -  Anteil Alter 60-64 Jahre insgesamt,1,1
SH - Anteil Alter 60-64 Jahre m,1,1
SH - Anteil Alter 60-64 Jahre w,1,1
