Value,Disaggregation combinations using this value,Number of indicators
3-Jahreswert Deutschland,1,1
3-Jahreswert Schleswig-Holstein,1,1
Bund,1,1
Deutschland,10,10
Dithmarschen,1,1
Elbe,2,2
EU-27 (28),1,1
Fairtrade-Gemeinden und -Kreise,1,1
Flensburg,1,1
Gesamt,1,1
Hzgt. Lauenburg,1,1
Kiel,1,1
Lübeck,1,1
Neumünster,1,1
Nordfriesland,1,1
Nordsee,2,2
Ostholstein,1,1
Ostsee,2,2
Pinneberg,1,1
Plön,1,1
Rendsburg-Eckernförde,1,1
Schleswig-Flensburg,1,1
Schleswig-Holstein,13,13
Segeberg,1,1
Steinburg,1,1
Stickstoffkonzentration Nordsee,1,1
Stickstoffkonzentration Ostsee,1,1
Stormarn,1,1
