Value,Disaggregation combinations using this value,Number of indicators
11,1,1
12,1,1
13,1,1
14,1,1
16,1,1
17,1,1
18,1,1
19,1,1
Anteil Jungen,1,1
Anteil Mädchen,1,1
Deutschland Frauen,1,1
Deutschland insgesamt,1,1
Deutschland Männer,1,1
Frauen,1,1
Früheres Bundesgebiet Frauen,1,1
Früheres Bundesgebiet insgesamt,1,1
Früheres Bundesgebiet Männer,1,1
Männer,1,1
Neue Bundesländer (einschließlich Berlin) Frauen,1,1
Neue Bundesländer (einschließlich Berlin) insgesamt,1,1
Neue Bundesländer (einschließlich Berlin) Männer,1,1
Schleswig-Holstein Frauen,1,1
Schleswig-Holstein insgesamt,1,1
Schleswig-Holstein Männer,1,1
