Value,Disaggregation combinations using this value,Number of indicators
Alleinerziehende mit Kind/ern Frueheres Bundesgebiet (ohne Berlin),1,1
Alleinerziehende mit Kind/ern SH,1,1
Erwerbslose Frueheres Bundesgebiet (ohne Berlin),1,1
Erwerbslose SH,1,1
Geringqualifizierte Frueheres Bundesgebiet (ohne Berlin),1,1
Geringqualifizierte SH,1,1
Insgesamt Frueheres Bundesgebiet (ohne Berlin),1,1
Insgesamt SH,1,1
Mit Migrationshintergrund Frueheres Bundesgebiet (ohne Berlin),1,1
Mit Migrationshintergrund SH,1,1
Ohne deutsche Staatsangehörigkeit Frueheres Bundesgebiet (ohne Berlin),1,1
Ohne deutsche Staatsangehörigkeit SH,1,1
Paar mit drei oder mehr Kindern Frueheres Bundesgebiet (ohne Berlin),1,1
Paar mit drei oder mehr Kindern SH,1,1
