Value,Number of indicators
€,2
5 jährig gleitender Mittelwert der Phosphortracht (1000 t),1
5 jährig gleitender Mittelwert der Stickstofftracht (1000 t),1
Anzahl Wasserkörper,1
Anzahl,10
BIP/DMIa,1
Deckungsgrad,1
Euro,3
Gefangene je 100T Einwohnerinnen und Einwohner,1
Gini-Koeffizient,1
GWh,2
Häufigkeitszahl,1
Index,1
je 1.000 Lebendgeborene,1
je 100.000 Einwohnerinnen und Einwohner,1
kg N/ha,1
kg/Einwohner,1
m² je Einwohnerin und Einwohner,1
Materialverbrauch je Einwohnerin und Einwohner [t/E],1
Menschen,1
mg/l,2
Minuten,1
Mio. t CO2-Äquivalente,1
Mrd. Euro,1
Prozent,36
T Euro,1
Veränderung (ha/d),1
Zukunftsschulen,1
µg/m³,1
